N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
171,DL,"64,500","2,000",-3.01%,"5,000","13,517","20,956",10.80,"111,248",2.20,26.52,
172,한샘,"57,300","2,900",-4.82%,"1,000","13,485","23,534",13.84,"86,951",25.01,9.10,
173,KODEX 종합채권(AA-이상)액티브,"102,630",65,+0.06%,0,"13,474","13,129",0.00,"2,338",N/A,N/A,
174,코오롱인더,"48,700","2,000",-3.94%,"5,000","13,402","27,519",17.71,"302,674",6.52,8.20,
175,롯데렌탈,"36,250",350,-0.96%,"5,000","13,280","36,634",4.87,"24,210",9.10,12.28,
176,한미반도체,"13,350",450,-3.26%,100,"13,206","98,920",5.30,"366,183",12.74,34.59,
177,KODEX 단기채권,"103,410",10,+0.01%,0,"13,192","12,757",0.24,"2,339,092",N/A,N/A,
178,효성티앤씨,"304,500","14,500",-4.55%,"5,000","13,178","4,328",9.59,"33,192",1.89,76.22,
179,TIGER 미국테크TOP10 INDXX,"10,225",140,-1.35%,0,"13,170","128,800",0.33,"402,537",N/A,N/A,
180,TIGER 미국필라델피아반도체나스닥,"8,915",85,-0.94%,0,"12,967","145,450",0.46,"872,912",N/A,N/A,
181,TIGER TOP10,"10,040",95,-0.94%,0,"12,952","129,000",0.50,"355,641",N/A,N/A,
182,KODEX KOFR금리액티브(합성),"100,355",10,+0.01%,0,"12,740","12,695",0.00,"2,350",N/A,N/A,
183,KODEX 삼성그룹,"8,130",20,-0.25%,0,"12,715","156,400",0.10,"1,829,775",N/A,N/A,
184,DGB금융지주,"7,500",210,-2.72%,"5,000","12,686","169,146",48.89,"395,180",2.34,9.63,
185,롯데리츠,"5,210",40,-0.76%,500,"12,659","242,969",10.79,"108,776",34.28,1.59,
186,대성홀딩스,"78,400","1,500",+1.95%,"1,000","12,614","16,089",4.81,"93,946",72.59,3.61,
187,KG스틸,"12,350",550,-4.26%,"5,000","12,351","100,009",1.40,"934,511",5.34,17.99,
188,서울가스,"243,000","1,000",-0.41%,"5,000","12,150","5,000",4.68,"10,297",66.10,0.80,
189,아이에스동서,"38,500","1,100",-2.78%,500,"11,894","30,893",6.13,"71,592",6.91,8.69,
190,KODEX 2차전지산업,"16,810",300,-1.75%,0,"11,817","70,300",0.50,"1,365,011",N/A,N/A,
191,동국제강,"12,300",400,-3.15%,"5,000","11,738","95,433",22.48,"436,227",1.48,23.41,
192,TIGER MSCI Korea TR,"12,570",115,-0.91%,0,"11,640","92,600",4.75,"7,730",N/A,N/A,
193,ESR켄달스퀘어리츠,"5,270",80,-1.50%,"1,000","11,230","213,089",52.62,"166,009",37.64,1.34,
194,한국앤컴퍼니,"11,800",100,-0.84%,500,"11,202","94,935",9.28,"211,376",6.28,5.53,
195,일진하이솔루스,"30,800","1,050",-3.30%,500,"11,184","36,313",1.53,"73,021",115.36,4.97,
196,LX인터내셔널,"28,850",500,-1.70%,"5,000","11,182","38,760",25.90,"296,704",2.52,22.49,
197,TIGER 2차전지테마,"16,880",475,-2.74%,0,"11,115","65,850",0.74,"1,122,879",N/A,N/A,
198,종근당,"92,200","2,900",+3.25%,"2,500","11,053","11,988",7.24,"41,870",24.51,7.65,
199,일동제약,"40,750","5,300",+14.95%,"1,000","10,922","26,803",4.06,"9,544,899",-4.72,-48.94,
200,두산,"66,000","1,900",-2.80%,"5,000","10,906","16,524",11.83,"51,367",75.60,11.08,
